matricula,ano,nota,frequencia,status,tipo
89,2020,88,75,Aprovado,TURMA
90,2017,79,96,Aprovado,TURMA
91,2017,82,100,Aprovado,TURMA
91,2019,0,0,Aprovado,EQUIVALENCIA
92,2020,83,100,Aprovado,TURMA
93,2021,80,100,Aprovado,TURMA
94,2021,96,100,Aprovado,TURMA
95,2017,7,75,R-nota,TURMA
95,2018,0,53,R-freq,TURMA
95,2019,0,83,R-nota,TURMA
95,2019,5,0,Reprovado,APROVEITAMENTO
95,2020,0,0,Cancelado,TURMA
95,2021,35,97,R-nota,TURMA
95,2022,31,100,R-nota,TURMA
95,2022,0,0,Matriculado,TURMA
96,2022,23,100,R-nota,TURMA
96,2022,0,0,Matriculado,TURMA
97,2014,25,90,R-nota,TURMA
97,2014,86,93,Aprovado,TURMA
98,2020,18,94,R-nota,TURMA
98,2021,43,100,R-nota,TURMA
98,2021,97,100,Aprovado,TURMA
99,2022,0,0,Matriculado,TURMA
100,2021,100,100,Aprovado,TURMA
101,2016,74,93,Aprovado,TURMA
101,2019,0,0,Aprovado,EQUIVALENCIA
102,2017,93,100,Aprovado,TURMA
103,2017,98,100,Aprovado,TURMA
103,2019,0,0,Aprovado,EQUIVALENCIA
104,2015,50,100,Aprovado,TURMA
105,2021,48,100,R-nota,TURMA
105,2021,98,100,Aprovado,TURMA
106,2021,0,0,Cancelado,TURMA
106,2021,26,94,R-nota,TURMA
106,2022,51,100,Aprovado,TURMA
107,2019,33,100,R-nota,TURMA
107,2019,78,93,Aprovado,TURMA
108,2021,96,100,Aprovado,TURMA
109,2021,90,100,Aprovado,TURMA
110,2022,66,100,Aprovado,TURMA
111,2020,99,100,Aprovado,TURMA
112,2019,71,96,Aprovado,TURMA
113,2017,81,100,Aprovado,TURMA
114,2019,75,100,Aprovado,TURMA
115,2019,53,90,Aprovado,TURMA
116,2019,70,90,Aprovado,TURMA
117,2020,91,100,Aprovado,TURMA
118,2021,96,100,Aprovado,TURMA
119,2019,75,93,Aprovado,TURMA
120,2019,70,96,Aprovado,TURMA
121,2022,93,100,Aprovado,TURMA
122,2021,0,0,R-freq,TURMA
122,2021,7,87,R-nota,TURMA
