matricula,ano,nota,frequencia,status,tipo
429,2022,71,100,Aprovado,TURMA
430,2020,87,100,Aprovado,TURMA
431,2022,75,100,Aprovado,TURMA
432,2018,70,100,Aprovado,TURMA
432,2019,0,0,Aprovado,EQUIVALENCIA
433,2021,0,0,Cancelado,TURMA
434,2021,100,100,Aprovado,TURMA
435,2021,100,100,Aprovado,TURMA
436,2019,92,83,Aprovado,TURMA
437,2018,62,90,Aprovado,TURMA
437,2019,0,0,Aprovado,EQUIVALENCIA
438,2020,86,100,Aprovado,TURMA
439,2021,80,100,Aprovado,TURMA
440,2016,71,76,Aprovado,TURMA
441,2021,94,100,Aprovado,TURMA
442,2020,90,100,Aprovado,TURMA
443,2022,70,100,Aprovado,TURMA
444,2017,66,96,Aprovado,TURMA
444,2019,0,0,Aprovado,EQUIVALENCIA
445,2018,84,100,Aprovado,TURMA
445,2019,0,0,Aprovado,EQUIVALENCIA
446,2017,66,93,Aprovado,TURMA
446,2019,0,0,Aprovado,EQUIVALENCIA
447,2017,85,100,Aprovado,TURMA
448,2020,0,100,Matriculado,TURMA
448,2020,0,0,Cancelado,TURMA
449,2018,46,96,R-nota,TURMA
449,2018,81,90,Aprovado,TURMA
449,2019,0,0,Aprovado,EQUIVALENCIA
450,2021,99,100,Aprovado,TURMA
451,2015,30,93,R-nota,TURMA
451,2015,95,90,Aprovado,TURMA
452,2020,75,100,Aprovado,TURMA
453,2020,90,100,Aprovado,TURMA
454,2020,81,100,Aprovado,TURMA
455,2017,64,93,Aprovado,TURMA
456,2020,76,100,Aprovado,TURMA
457,2020,92,100,Aprovado,TURMA
458,2022,90,97,Aprovado,TURMA
459,2022,0,0,Matriculado,TURMA
460,2020,63,100,Aprovado,TURMA
461,2022,22,97,R-nota,TURMA
461,2022,0,0,Matriculado,TURMA
462,2020,85,100,Aprovado,TURMA
463,2018,70,96,Aprovado,TURMA
463,2019,0,0,Aprovado,EQUIVALENCIA
464,2016,70,100,Aprovado,TURMA
465,2018,44,96,R-nota,TURMA
465,2018,87,80,Aprovado,TURMA
465,2019,0,0,Aprovado,EQUIVALENCIA
466,2019,94,86,Aprovado,TURMA
467,2019,70,100,Aprovado,TURMA
468,2021,70,100,Aprovado,TURMA
469,2016,85,96,Aprovado,TURMA
469,2019,0,0,Aprovado,EQUIVALENCIA
470,2022,79,87,Aprovado,TURMA
471,2019,85,96,Aprovado,TURMA
472,2021,75,75,Aprovado,TURMA
473,2019,70,90,Aprovado,TURMA
474,2017,77,100,Aprovado,TURMA
474,2019,0,0,Aprovado,EQUIVALENCIA
475,2021,100,100,Aprovado,TURMA
476,2020,100,100,Aprovado,TURMA
477,2014,71,86,Aprovado,TURMA
478,2022,92,100,Aprovado,TURMA
479,2022,79,100,Aprovado,TURMA
480,2020,0,0,Aprovado,EQUIVALENCIA
481,2017,34,100,R-nota,TURMA
481,2017,78,90,Aprovado,TURMA
482,2018,79,90,Aprovado,TURMA
482,2019,0,0,Aprovado,EQUIVALENCIA
483,2022,76,100,Aprovado,TURMA
484,2017,50,93,Aprovado,TURMA
484,2019,0,0,Aprovado,EQUIVALENCIA
485,2019,55,86,Aprovado,TURMA
486,2016,24,93,R-nota,TURMA
486,2016,72,86,Aprovado,TURMA
487,2018,30,76,R-nota,TURMA
487,2018,77,83,Aprovado,TURMA
488,2019,89,100,Aprovado,TURMA
489,2017,8,93,R-nota,TURMA
489,2017,51,90,Aprovado,TURMA
489,2019,0,0,Aprovado,EQUIVALENCIA
490,2019,73,90,Aprovado,TURMA
491,2018,38,96,R-nota,TURMA
491,2018,90,100,Aprovado,TURMA
491,2019,0,0,Aprovado,EQUIVALENCIA
492,2016,71,96,Aprovado,TURMA
493,2020,90,100,Aprovado,TURMA
494,2018,14,96,R-nota,TURMA
494,2018,35,80,R-nota,TURMA
494,2019,0,63,R-freq,TURMA
494,2020,0,0,R-freq,TURMA
494,2020,0,100,R-nota,TURMA
495,2016,55,100,Aprovado,TURMA
495,2019,0,0,Aprovado,EQUIVALENCIA
496,2020,83,100,Aprovado,TURMA
497,2016,0,0,Aprovado,EQUIVALENCIA
498,2017,33,100,R-nota,TURMA
498,2017,61,100,Aprovado,TURMA
499,2022,71,87,Aprovado,TURMA
500,2019,81,76,Aprovado,TURMA
501,2021,0,0,R-freq,TURMA
501,2021,17,97,R-nota,TURMA
501,2022,40,94,R-nota,TURMA
501,2022,0,0,Matriculado,TURMA
502,2017,74,80,Aprovado,TURMA
502,2019,0,0,Aprovado,EQUIVALENCIA
503,2017,100,96,Aprovado,TURMA
504,2022,38,90,R-nota,TURMA
505,2019,77,90,Aprovado,TURMA
506,2019,27,90,R-nota,TURMA
506,2019,31,86,R-nota,TURMA
506,2020,80,100,Aprovado,TURMA
506,2020,0,0,Cancelado,TURMA
507,2016,86,90,Aprovado,TURMA
508,2019,18,100,R-nota,TURMA
508,2020,0,0,Cancelado,TURMA
508,2021,0,0,Cancelado,TURMA
508,2021,0,0,Matriculado,TURMA
509,2016,77,93,Aprovado,TURMA
510,2018,16,100,R-nota,TURMA
510,2018,36,100,R-nota,TURMA
510,2019,69,93,Aprovado,TURMA
511,2021,88,100,Aprovado,TURMA
512,2017,32,93,R-nota,TURMA
512,2017,60,93,Aprovado,TURMA
512,2019,0,0,Aprovado,EQUIVALENCIA
513,2022,0,0,Aprovado,EQUIVALENCIA
514,2022,69,100,Aprovado,TURMA
515,2021,29,100,R-nota,TURMA
515,2021,31,100,R-nota,TURMA
515,2022,84,100,Aprovado,TURMA
516,2017,0,0,Aprovado,EQUIVALENCIA
517,2019,37,93,R-nota,TURMA
517,2019,30,83,R-nota,TURMA
518,2019,66,96,Aprovado,TURMA
519,2020,74,100,Aprovado,TURMA
520,2019,92,100,Aprovado,TURMA
521,2022,76,100,Aprovado,TURMA
522,2019,43,100,R-nota,TURMA
522,2019,88,93,Aprovado,TURMA
523,2021,89,100,Aprovado,TURMA
524,2020,77,100,Aprovado,TURMA
525,2022,10,100,R-nota,TURMA
525,2022,0,0,Matriculado,TURMA
526,2017,0,60,R-freq,TURMA
526,2017,0,86,R-nota,TURMA
526,2018,0,80,R-nota,TURMA
526,2018,3,93,R-nota,TURMA
526,2019,5,100,R-nota,TURMA
526,2021,0,0,R-freq,TURMA
527,2020,0,0,Aprovado,EQUIVALENCIA
528,2021,0,0,Cancelado,TURMA
528,2021,2,100,R-nota,TURMA
528,2022,35,100,R-nota,TURMA
528,2022,0,0,Matriculado,TURMA
529,2020,0,0,Cancelado,TURMA
529,2021,0,0,R-freq,TURMA
529,2021,8,100,R-nota,TURMA
529,2022,31,90,R-nota,TURMA
529,2022,0,0,Matriculado,TURMA
530,2018,31,86,R-nota,TURMA
530,2018,77,100,Aprovado,TURMA
530,2019,0,0,Aprovado,EQUIVALENCIA
531,2018,7,93,R-nota,TURMA
531,2018,56,80,Aprovado,TURMA
531,2019,0,0,Aprovado,EQUIVALENCIA
532,2018,100,93,Aprovado,TURMA
532,2019,0,0,Aprovado,EQUIVALENCIA
533,2022,0,60,R-freq,TURMA
534,2016,71,100,Aprovado,TURMA
535,2020,100,100,Aprovado,TURMA
536,2017,80,100,Aprovado,TURMA
536,2019,0,0,Aprovado,EQUIVALENCIA
537,2018,83,90,Aprovado,TURMA
537,2019,0,0,Aprovado,EQUIVALENCIA
538,2021,28,97,R-nota,TURMA
538,2022,23,100,R-nota,TURMA
538,2022,0,0,Matriculado,TURMA
539,2019,74,93,Aprovado,TURMA
540,2021,0,0,Cancelado,TURMA
540,2021,7,100,R-nota,TURMA
540,2022,2,100,R-nota,TURMA
540,2022,0,0,Matriculado,TURMA
541,2022,70,100,Aprovado,TURMA
542,2020,69,94,Aprovado,TURMA
543,2018,79,100,Aprovado,TURMA
543,2019,0,0,Aprovado,EQUIVALENCIA
544,2018,0,0,Aprovado,EQUIVALENCIA
545,2018,11,33,R-freq,TURMA
545,2018,0,0,R-freq,TURMA
545,2019,0,40,R-freq,TURMA
545,2019,0,0,R-freq,TURMA
545,2021,0,0,R-freq,TURMA
546,2019,80,100,Aprovado,TURMA
547,2018,98,96,Aprovado,TURMA
547,2019,0,0,Aprovado,EQUIVALENCIA
548,2021,0,0,Cancelado,TURMA
549,2019,70,100,Aprovado,TURMA
550,2020,97,100,Aprovado,TURMA
551,2020,85,100,Aprovado,TURMA
552,2018,27,100,R-nota,TURMA
552,2018,86,93,Aprovado,TURMA
552,2019,0,0,Aprovado,EQUIVALENCIA
553,2018,76,93,Aprovado,TURMA
553,2019,0,0,Aprovado,EQUIVALENCIA
554,2018,91,96,Aprovado,TURMA
554,2019,0,0,Aprovado,EQUIVALENCIA
555,2018,72,100,Aprovado,TURMA
555,2019,0,0,Aprovado,EQUIVALENCIA
556,2019,86,100,Aprovado,TURMA
557,2021,90,100,Aprovado,TURMA
558,2018,30,96,R-nota,TURMA
558,2018,75,90,Aprovado,TURMA
558,2019,0,0,Aprovado,EQUIVALENCIA
559,2022,58,100,Aprovado,TURMA
560,2021,99,100,Aprovado,TURMA
561,2018,72,100,Aprovado,TURMA
561,2019,0,0,Aprovado,EQUIVALENCIA
562,2018,88,93,Aprovado,TURMA
562,2019,0,0,Aprovado,EQUIVALENCIA
563,2021,0,100,R-nota,TURMA
563,2022,0,100,R-nota,TURMA
564,2020,98,100,Aprovado,TURMA
565,2016,62,100,Aprovado,TURMA
565,2019,0,0,Aprovado,EQUIVALENCIA
566,2018,70,100,Aprovado,TURMA
566,2019,0,0,Aprovado,EQUIVALENCIA
567,2022,91,100,Aprovado,TURMA
568,2020,47,100,R-nota,TURMA
568,2020,0,0,Cancelado,TURMA
568,2021,88,100,Aprovado,TURMA
569,2015,0,0,Aprovado,EQUIVALENCIA
570,2022,70,100,Aprovado,TURMA
571,2018,98,100,Aprovado,TURMA
571,2019,0,0,Aprovado,EQUIVALENCIA
572,2021,83,100,Aprovado,TURMA
