Consulta 1: Todas as escolas com suas cidades e telefones ;
codigo|nome|cod_municipio|endereco|compl_endereco|bairro|cod_loc_dif|cod_escola|ddd|numero|codigo|nome|uf
11006722|APAE DE ARIQUEMES|1100023|AVENIDA TABAPUA||SETOR 04|0||||1100023|Ariquemes|RO
11006757|CENTRO ESTADUAL DE EDUCACAO DE JOVENS E ADULTOS ARIQUEMES|1100023|TRAVESSA AQUARIQUARA||SETOR INSTITUCIONAL|0||||1100023|Ariquemes|RO
11006765|ESCOLA ADVENTISTA DE ARIQUEMES|1100023|RUA SALVADOR||SETOR 03|0||||1100023|Ariquemes|RO
11006773|EEEFM CORA CORALINA|1100023|AVENIDA GUAPORE||SETOR 05|0||||1100023|Ariquemes|RO
11006846|EEEF ALBINA MARCIO SORDI|1100023|RUA VILHENA|BNH|7|0||||1100023|Ariquemes|RO
11006854|EMEFM ALDEMIR LIMA CANTANHEDE|1100023|AVENIDA ARTHUR MANGABEIRA||MARECHAL RONDON 01|0||||1100023|Ariquemes|RO
11006889|EEEFM ANISIO TEIXEIRA|1100023|RUA CARDEAL||SETOR 02|0||||1100023|Ariquemes|RO
11006900|EMEIEF ARCO-IRIS|1100023|RO 257| TRAV B 90| LINHA C 60|1||||1100023|Ariquemes|RO
11007028|CEI CASTORZINHO|1100023|RUA GOIAS|TRAVESSA RORAIMA|SETOR 05|0||||1100023|Ariquemes|RO
11007079|EMEF DR DIRCEU DE ALMEIDA|1100023|RUA MONTEIRO LOBATO|3348||0||||1100023|Ariquemes|RO
11007168|COLEGIO TIRADENTES DA POLICIA MILITAR - CTPM III|1100023|RUA PARANAVAI|7ª RUA|SETOR 09|0||||1100023|Ariquemes|RO
11007222|EMEIEF JORGE TEIXEIRA|1100023|RUA IARA||JARDIM JORGE TEIXEIRA|0||||1100023|Ariquemes|RO
11007249|EMEIEF HENRIQUE DIAS|1100023|BR-364| GL 17| LT 64|0||||1100023|Ariquemes|RO
11007257|EMEF IRENO ANTONIO BERTICELLI|1100023|RUA RAQUEL DE QUEIROZ||COLONIAL|0||||1100023|Ariquemes|RO
11007281|EEEFM JARDIM DAS PEDRAS|1100023|RUA MOEMA||JARDIM JORGE TEIXEIRA|0||||1100023|Ariquemes|RO
11007346|EMEIEF JORGE LUIZ MOULAZ|1100023|BR 364 KM 491 - CAJAZEIRAS||ZONA RURAL|0||||1100023|Ariquemes|RO
